,Ashmeadiella sp2,B.pensylvanicus,Centris mexicana,Centris transversa,Exomalopsis sp3,Centris atripes,Ashmeadiella sp1,Nomia sp1,Nomia sp2,Lasioglossum sp4,Colletes sp,Lasioglossum sp1,Lasioglossum sp2,Liturgus littoralis,Ceratina sp2,Exomalopsis sp1,Perdita sp2,Exomalopsis sp1,A.texanus,A.tyleri,Lasioglossum sp5,Lasioglossum sp3,Macrotera sp1,Diadasia rinconis,A.pomoniella,A.metallica,H.ligatus,A.mellifera,Melissodes sp,Perdita sp1,Ceratina sp1,Macrotera sp2
L. diffusa,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio.sp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
S. wislizeni,0,1,1,1,9,5,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,6,0,0,0,0
H. elegans,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
C. morifolius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. hookeriana,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
N. conoidea,0,0,0,0,0,0,1,0,0,2,0,26,2,0,0,0,0,0,0,0,0,0,5,1,2,0,0,3,0,0,0,0
L. tridentata,0,0,0,0,0,2,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0
F. splendens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
O. microdasys,0,0,0,0,0,0,0,0,0,0,0,11,1,3,0,0,0,0,0,2,0,0,37,19,5,0,0,0,3,0,0,0
M. galeotii,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0
O. cantabrigiensis,0,0,0,0,0,0,2,0,0,1,0,21,0,10,0,0,0,0,0,1,0,0,0,30,4,0,0,10,4,0,0,0
E. platyacanthus,0,0,0,0,0,0,2,0,0,9,0,88,10,0,1,1,1,2,2,15,0,2,81,23,23,0,0,15,8,1,0,0
C. radians,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0,0,0,0
C. imbricata,0,0,0,0,0,0,3,0,0,1,0,14,0,5,0,0,0,0,0,16,2,0,3,129,7,0,0,32,9,0,0,0
O. stenopetala,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,6,0,1,14,17,16,0,0,7,4,0,0,0
C. leptocaulis,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,21,0,0,0,7,2,0,0,0
K. mollis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
B. veronicifolia,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,0,0,0,0
D. bicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,8,1,1
A. micrantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
